,user_1,user_2,user_3,user_4,user_5,user_6,user_7,user_8,user_9,user_10,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
0,312,329,56,468,38,451,44,265,367,576,0.3809783764553731,0.3383705441628409,0.3370315470274015,0.3349054509931592,0.3348314037922925,0.3325927815626173,0.3286771857319989,0.3278646225623761,0.3243794729893913,0.3208002950429377
1,365,377,416,460,188,549,432,226,434,246,0.3001668056842815,0.2948309470803935,0.2722355554157594,0.2501595914621521,0.2491364395612199,0.2456518422202587,0.2375422747394687,0.2298361405524275,0.2292273020245011,0.227429413073671
2,160,517,287,554,561,83,367,233,560,303,0.1025641025641025,0.098058067569092,0.0936688239718804,0.0865858908463514,0.0842852721654685,0.0841930796756269,0.0813343425128136,0.0788660431016176,0.0783817025344955,0.0762673858870715
3,390,602,155,274,329,596,134,220,468,197,0.3359318691148671,0.3079867821496072,0.3069545659012717,0.2914869074635801,0.2597621667330655,0.2586194884304036,0.2525589203145528,0.2505728024497368,0.2492721383639895,0.2467583717766591
4,469,564,228,234,125,378,129,454,467,393,0.5562148865321748,0.5318978854080616,0.523570314404736,0.523570314404736,0.5135717874467445,0.502518907629606,0.4843324499534612,0.479233838298523,0.4723774929733302,0.4715209600964486
5,180,116,57,239,410,558,435,42,135,591,0.5454858273738211,0.5359854921450784,0.5172469028498231,0.4988043027922638,0.495756606177198,0.48648710129563,0.4713903574812566,0.4704058964908356,0.4606511267837124,0.4598310996389309
6,238,433,353,424,437,398,479,165,329,579,0.3544858992717395,0.33476557748383,0.329119656791052,0.32457534904355,0.3186592561161462,0.3109243905006282,0.3085799841989098,0.3059882495526028,0.3044961045566541,0.3029908853106998
7,93,378,346,445,511,565,454,37,125,469,0.7017130580269054,0.6807032936568412,0.6740723421552236,0.6684373647831918,0.6188527477552761,0.6104325901326306,0.5989289931061345,0.5945744878515459,0.5915606553503763,0.587095265748098
8,164,66,398,507,107,76,219,94,375,181,0.146303391191891,0.1228682967957476,0.1228682967957476,0.1203858530857692,0.1183892660110542,0.1095171356386787,0.1024792436502242,0.1023785449184902,0.1022787120864396,0.0990588078477638
9,158,562,188,176,142,20,524,508,416,67,0.2917622047048868,0.2895450767013406,0.2456769074559977,0.2445518877255685,0.2407232562855118,0.2208496974014429,0.2192193943453517,0.2190108188150301,0.2168292539606552,0.2166666666666666
10,485,339,175,234,125,303,80,385,132,178,0.4175956904881631,0.3543416934461505,0.3541666666666667,0.3255911782966722,0.3244428422615251,0.3231965632838915,0.3186887195995491,0.318328007860187,0.3169328455231937,0.3160128643501441
11,405,582,279,99,112,356,488,131,223,200,0.1976423537605237,0.1889822365046136,0.1388959748759289,0.1307785935867967,0.1299038105676657,0.1264601403677367,0.125,0.1233683129251825,0.120281306081172,0.1179849759310673
12,298,590,492,96,449,452,427,215,197,208,0.2621520601955983,0.2199706725320299,0.1839688199273095,0.1796053020267748,0.1760484091897499,0.1731361994314686,0.1555427542095638,0.1542729961996339,0.1539566977972505,0.151794185179729
13,93,564,410,511,7,37,378,372,445,132,0.5014858873767987,0.4824506406770076,0.4738918556101679,0.4694855340334424,0.4631835565865854,0.4576043153224294,0.4570689631084537,0.4474464586219599,0.4409585518440984,0.4391550328268399
14,246,278,140,433,600,66,398,61,572,560,0.4638007234913623,0.3892494720807615,0.3718489006818113,0.3495802146835143,0.3425566636924719,0.329920803565817,0.329920803565817,0.3284092894614492,0.3235272589420912,0.3217115941879986
15,16,130,496,444,399,342,347,250,246,151,0.443613573862942,0.4377890729616421,0.3819140522910029,0.3798879687548221,0.3697123652689317,0.3682298471593293,0.367764141566157,0.3580733220904644,0.3464101615137754,0.3436215967445456
16,15,399,548,246,398,433,130,444,361,327,0.443613573862942,0.4167054245539805,0.404621824499962,0.3984095364447979,0.3903600291794132,0.383600036953472,0.3759506009867954,0.367006645104718,0.3645496692315442,0.3605680754977631
17,304,248,61,572,62,560,238,67,246,433,0.4168310675881861,0.4140030626403843,0.4082682877676996,0.4078210460112308,0.4012593925764753,0.3992073326209904,0.3954647288191368,0.3935566058375285,0.3862854740518719,0.3859616124622742
18,216,554,293,607,56,159,468,287,44,90,0.4371938025441533,0.4188607631345045,0.416767263984566,0.4003531520011143,0.3889568096066865,0.3698583944451776,0.3690441423162807,0.3669299741465724,0.3644124437986732,0.3586107152935955
19,380,524,168,607,176,231,63,67,379,287,0.3041167711524908,0.3018537766524362,0.2939526910631092,0.2720518200960529,0.2715262506470837,0.2605467411465067,0.2600967184024695,0.2589661986891186,0.2578675586050797,0.2572820215633366
20,533,248,291,474,560,379,61,67,17,140,0.4146193261565407,0.4025157304809572,0.3914532975143693,0.38543723003562,0.3657619726269876,0.3539548281303703,0.3526516649372115,0.3466671007695378,0.339286251013781,0.3335683896585271
21,433,330,338,189,486,377,232,246,140,580,0.2942690849717458,0.2899717804431689,0.2855556877083298,0.2820944619442898,0.2817476755912645,0.2778594651131056,0.2769380397690943,0.2769380397690943,0.2758268155435021,0.275391241934913
22,15,186,390,167,386,220,321,328,579,165,0.2938625584151886,0.2773278864715439,0.2637476010716308,0.2344139196042712,0.232614051418056,0.2298535150613489,0.2285013519562477,0.2274702698804452,0.2263953037795449,0.2242381136703672
23,51,560,278,246,238,559,355,61,17,165,0.2759598633023399,0.2715425814441516,0.2659188032414319,0.2646896410149177,0.262578635679451,0.2584038095331847,0.2523871559767744,0.2442076108116632,0.242564172460981,0.2421000623531261
24,188,514,406,29,208,365,600,548,76,581,0.4385290096535146,0.4230769230769231,0.4181210050035454,0.4036036763977875,0.3977961264790775,0.3522349768381734,0.351257126512934,0.3423683940087303,0.3277606683281533,0.3144854510165755
25,125,497,484,241,378,55,339,467,191,80,0.6725927091345493,0.6270544465288199,0.5915204817512771,0.590168890850654,0.5819143739626463,0.5791405068790082,0.5773502691896257,0.5698028822981898,0.5582905262390825,0.5563486402641867
26,576,56,216,287,185,0,233,526,263,201,0.2916678990410719,0.2879734832347834,0.2711424282954781,0.267625973284112,0.2633520648528784,0.2599243430546439,0.2543353468294658,0.253080379367773,0.2415229457698239,0.2400869860437406
27,238,579,479,433,218,304,413,589,67,165,0.4012180410870669,0.3791238724627788,0.3679536793974942,0.3622084208574528,0.3609198773893409,0.3525432084587167,0.3475512618664091,0.3384179388992354,0.3362963545672746,0.3342554190045201
28,316,278,16,62,327,136,338,304,196,331,0.2263000343188069,0.2261335084333227,0.2168666828774518,0.2159846183931687,0.2087414303617164,0.2058593584829268,0.2019010511976753,0.1878952636058881,0.187812056606337,0.1835970184086313
29,548,406,230,438,24,188,76,365,493,246,0.4865127725673278,0.4753270756826349,0.4200840252084029,0.4116646537108158,0.4036036763977875,0.3834824944236852,0.3821578531790892,0.3696246621802185,0.3656362120635653,0.3640728218472825
30,205,213,70,450,269,523,388,528,31,149,0.3676955262170047,0.3618136134933163,0.358568582800318,0.3395498750508661,0.3354101966249684,0.321257072871912,0.3152963125472328,0.3111269837220809,0.3080616184861622,0.305085107923876
31,269,149,205,313,491,336,116,528,349,388,0.4383570037596047,0.4272046005593395,0.3960590171906697,0.3938287736328777,0.3870576758908818,0.3836484682442342,0.3777061202180189,0.3762560663311362,0.3757345746510897,0.3735795859462284
32,262,190,371,4,390,565,53,201,57,198,0.276247310054915,0.260525052859453,0.2553746470253635,0.2534723885322654,0.2485844072334307,0.2419887570912305,0.2369352361686757,0.2353082691888272,0.2345256689091609,0.2311250817605121
